"Assembly","FullName","BaseType","PublicParameterlessConstructor"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.DataControl.Visuals.AutoFilterRowControl","Eremex.AvaloniaUI.Controls.DataControl.Visuals.DataRowControlBase","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.DataControl.Visuals.BandHeaderControl","Avalonia.Controls.Primitives.TemplatedControl","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.DataControl.Visuals.BandHeadersControl","Avalonia.Controls.Primitives.TemplatedControl","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.DataControl.Visuals.BandHeadersPanel","Avalonia.Controls.Panel","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.DataControl.Visuals.CellControl","Avalonia.Controls.Primitives.TemplatedControl","False"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.DataControl.Visuals.CellEditor","Eremex.AvaloniaUI.Editors.InplaceEditing.InplaceEditorBase","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.DataControl.Visuals.CellsPanel","Eremex.AvaloniaUI.Controls.DataControl.Visuals.ColumnPanelBase`1[[Eremex.AvaloniaUI.Controls.DataControl.Visuals.CellControl, Eremex.Avalonia.Controls, Version=1.4.34.0, Culture=neutral, PublicKeyToken=null]]","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.DataControl.Visuals.ColumnChooserControl","Avalonia.Controls.Primitives.TemplatedControl","False"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.DataControl.Visuals.ColumnHeaderControl","Avalonia.Controls.Button","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.DataControl.Visuals.ColumnHeaderDockPanel","Avalonia.Controls.Panel","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.DataControl.Visuals.ColumnHeaderFilterComboBoxEditor","Eremex.AvaloniaUI.Controls.Editors.ComboBoxEditor","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.DataControl.Visuals.ColumnHeaderPanel","Eremex.AvaloniaUI.Controls.DataControl.Visuals.ColumnPanelBase`1[[Eremex.AvaloniaUI.Controls.DataControl.Visuals.ColumnHeaderControl, Eremex.Avalonia.Controls, Version=1.4.34.0, Culture=neutral, PublicKeyToken=null]]","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.DataControl.Visuals.ColumnHeadersControl","Avalonia.Controls.Primitives.TemplatedControl","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.DataControl.Visuals.DragElementControl","Avalonia.Controls.Primitives.TemplatedControl","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.DataControl.Visuals.DropIndicatorControl","Avalonia.Controls.Primitives.TemplatedControl","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.DataControl.Visuals.FilterPanel","Avalonia.Controls.Primitives.TemplatedControl","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.DataControl.Visuals.FocusedCellAdornerControl","Avalonia.Controls.Primitives.TemplatedControl","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.DataControl.Visuals.FocusedElementAdornerPanel","Avalonia.Controls.Panel","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.DataControl.Visuals.FocusedRowAdornerControl","Avalonia.Controls.Primitives.TemplatedControl","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.DataControl.Visuals.FooterCellControl","Avalonia.Controls.Primitives.TemplatedControl","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.DataControl.Visuals.FooterControl","Avalonia.Controls.Primitives.TemplatedControl","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.DataControl.Visuals.FooterPanel","Eremex.AvaloniaUI.Controls.DataControl.Visuals.ColumnPanelBase`1[[Eremex.AvaloniaUI.Controls.DataControl.Visuals.FooterCellControl, Eremex.Avalonia.Controls, Version=1.4.34.0, Culture=neutral, PublicKeyToken=null]]","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.DataControl.Visuals.MinWidthDecorator","Avalonia.Controls.Decorator","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.DataControl.Visuals.RowDragElementMultipleControl","Avalonia.Controls.Primitives.TemplatedControl","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.DataControl.Visuals.RowIndicatorControl","Avalonia.Controls.Primitives.TemplatedControl","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.DataControl.Visuals.ScrollPanel","Avalonia.Controls.Panel","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.DataControl.Visuals.SearchPanel","Avalonia.Controls.Primitives.TemplatedControl","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.DataGrid.DataGridControl","Eremex.AvaloniaUI.Controls.DataControl.DataControlBase","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.DataGrid.Visuals.DataGridGroupPanelControl","Avalonia.Controls.Primitives.TemplatedControl","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.DataGrid.Visuals.DataGridGroupPanelItemsControl","Avalonia.Controls.ItemsControl","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.DataGrid.Visuals.DataGridGroupRowControl","Eremex.AvaloniaUI.Controls.DataControl.Visuals.RowControlBase","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.DataGrid.Visuals.DataGridRowControl","Eremex.AvaloniaUI.Controls.DataControl.Visuals.DataRowControlBase","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Docking.AutoHideGroup","Eremex.AvaloniaUI.Controls.Docking.DockGroup","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Docking.DockGroup","Eremex.AvaloniaUI.Controls.Docking.DockItemBase","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Docking.DockManager","Avalonia.Controls.Primitives.TemplatedControl","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Docking.DockPane","Eremex.AvaloniaUI.Controls.Docking.DockItemBase","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Docking.DocumentGroup","Eremex.AvaloniaUI.Controls.Docking.TabbedGroup","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Docking.DocumentPane","Eremex.AvaloniaUI.Controls.Docking.DockPane","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Docking.FloatGroup","Eremex.AvaloniaUI.Controls.Docking.DockGroup","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Docking.Internal.AutoHideDockPanel","Avalonia.Controls.DockPanel","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Docking.Internal.AutoHideGrid","Avalonia.Controls.Grid","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Docking.Internal.AutoHideGroupItem","Eremex.AvaloniaUI.Controls.MxTabStripItem","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Docking.Internal.AutoHideGroupItemsControl","Eremex.AvaloniaUI.Controls.MxTabStrip","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Docking.Internal.AutoHidePane","Avalonia.Controls.Primitives.TemplatedControl","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Docking.Internal.AutoHideTray","Avalonia.Controls.ItemsControl","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Docking.Internal.CenterDockWidget","Eremex.AvaloniaUI.Controls.Docking.Internal.DockWidgetBase","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Docking.Internal.ControlBox","Avalonia.Controls.Primitives.TemplatedControl","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Docking.Internal.ControlBoxButton","Avalonia.Controls.Button","True"
